system:index,threshold_type,dfo_centroid_x,dfo_centroid_y,dfo_cause,gfd_area
DFO_1586_From_20000218_to_20000301,otsu,143.6978,-31.268059,Heavy rain,316.73
DFO_1587_From_20000217_to_20000311,otsu,47.29567,-15.782624,"Tropical Storm, Surge",228.5
DFO_1614_From_20000711_to_20000810,otsu,105.063841,11.242567,Heavy rain,4322.47
DFO_1627_From_20000830_to_20000910,otsu,132.057679,43.773883,"Tropical Storm, Surge",740.33
DFO_1631_From_20000901_to_20000906,std,113.483009,25.229313,Heavy rain,102.25
DFO_1641_From_20000918_to_20001021,otsu,88.5453,24.084064,Heavy rain,15273.64
DFO_1747_From_20010708_to_20010810,otsu,84.798732,21.055916,Heavy rain,465.08
DFO_1772_From_20010806_to_20010913,std,34.427661,14.996666,Heavy rain,1384.61
DFO_1778_From_20010819_to_20011011,otsu,16.260548,9.326659,Heavy rain,3913.15
DFO_1781_From_20010815_to_20011119,std,105.382431,11.768371,Heavy rain,26908.55
DFO_1789_From_20010820_to_20010911,otsu,83.051328,26.755588,Heavy rain,4464.14
DFO_1791_From_20010907_to_20010924,std,84.869961,26.532079,Heavy rain,4077.14
DFO_1793_From_20010818_to_20011009,std,-9.227085,10.549334,Heavy rain,908.0
DFO_1810_From_20011001_to_20011201,std,-61.214816,-32.897203,Heavy rain,16681.2
DFO_1818_From_20011026_to_20011115,std,-80.201721,22.339364,"Tropical Storm, Surge",723.48
DFO_1820_From_20011101_to_20011114,std,42.508939,0.491533,Heavy rain,0.06
DFO_1829_From_20011128_to_20011207,std,-89.868418,35.18328,Heavy rain,1370.75
DFO_1840_From_20011217_to_20011225,std,-91.79578,34.93086,Heavy rain,4108.41
DFO_1885_From_20020115_to_20020402,std,-50.481932,-11.878068,Heavy rain,3531.56
DFO_1907_From_20020416_to_20020421,std,43.063067,7.310603,Heavy rain,233.31
DFO_1917_From_20020426_to_20020528,std,33.544103,-0.075707,Heavy rain,3961.18
DFO_1919_From_20020507_to_20020608,std,-88.288297,39.195432,Heavy rain,2879.29
DFO_1921_From_20020507_to_20020606,std,64.578305,58.692261,Heavy rain,7360.0
DFO_1925_From_20020506_to_20020528,std,-57.810991,-26.67674,Heavy rain,2757.81
DFO_1939_From_20020423_to_20020509,std,-55.950506,-32.486429,Heavy rain,3700.46
DFO_1943_From_20020608_to_20020629,std,-95.906382,47.340749,Heavy rain,871.21
DFO_1951_From_20020612_to_20020616,std,-79.430735,22.001825,Heavy rain,97.99
DFO_1962_From_20020619_to_20020701,std,43.255015,43.99291,Heavy rain,734.64
