Tỉnh/Thành phố,Ngày,Nhiệt độ trung bình (°C),Độ ẩm trung bình (%),Gió trung bình (m/s),Tổng lượng mưa (mm)
An Giang,18-04-2025,30.8875,62.25,4.365,0.0
An Giang,19-04-2025,31.26625,60.625,3.68625,0.3
An Giang,20-04-2025,31.791249999999998,53.25,3.6225,0.11
An Giang,21-04-2025,32.01875,53.375,2.96875,1.5899999999999999
An Giang,22-04-2025,31.66,54.0,3.95,0.33
An Giang,23-04-2025,32.6775,53.25,4.3975,0.99
Bà Rịa -Vũng Tàu,18-04-2025,27.765,79.5,3.975,0.0
Bà Rịa -Vũng Tàu,19-04-2025,27.60375,80.375,3.58125,0.0
Bà Rịa -Vũng Tàu,20-04-2025,27.69625,78.875,3.245,0.45
Bà Rịa -Vũng Tàu,21-04-2025,27.658749999999998,78.5,3.4975,0.0
Bà Rịa -Vũng Tàu,22-04-2025,27.802500000000002,78.375,3.8925,0.0
Bà Rịa -Vũng Tàu,23-04-2025,28.125,78.25,4.18,1.3199999999999998
Bắc Giang,18-04-2025,24.9775,80.5,1.4100000000000001,0.18
Bắc Giang,19-04-2025,25.90125,73.875,2.52,0.0
Bắc Giang,20-04-2025,25.25,78.25,2.55375,1.9500000000000002
Bắc Giang,21-04-2025,25.2325,78.5,2.6662500000000002,0.0
Bắc Giang,22-04-2025,25.6925,76.875,2.40375,5.21
Bắc Giang,23-04-2025,26.240000000000002,72.0,2.6775,0.42
Bắc Kạn,18-04-2025,23.945,75.25,1.8699999999999999,0.0
Bắc Kạn,19-04-2025,25.38125,68.5,2.785,0.14
Bắc Kạn,20-04-2025,24.8325,72.25,2.5675,0.0
Bắc Kạn,21-04-2025,23.77625,77.25,2.4587499999999998,0.0
Bắc Kạn,22-04-2025,25.4025,69.5,2.40625,11.18
Bắc Kạn,23-04-2025,24.6925,73.0,1.165,1.0
Bạc Liêu,18-04-2025,30.240000000000002,64.0,2.7875,0.0
Bạc Liêu,19-04-2025,30.7075,60.625,3.3725,0.0
Bạc Liêu,20-04-2025,30.90625,55.75,2.71,0.0
Bạc Liêu,21-04-2025,31.07125,55.875,2.85375,0.0
Bạc Liêu,22-04-2025,30.3925,60.25,3.23375,0.0
Bạc Liêu,23-04-2025,31.7575,55.0,3.73,1.59
Bắc Ninh,18-04-2025,26.5275,81.5,4.3475,0.49
Bắc Ninh,19-04-2025,28.07875,74.625,5.234999999999999,0.0
Bắc Ninh,20-04-2025,27.4975,77.5,4.84125,2.66
Bắc Ninh,21-04-2025,27.9375,76.875,4.88125,4.52
